frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,246.51,218.61,320.77,317.89,0.727,0,283.64,317.89,5.5686,-3.7439
0,3,188.44,208.98,244.37,294.07,0.560,0,216.41,294.07,4.8063,-4.0398
1,1,245.29,218.69,319.95,318.57,0.721,0,282.62,318.57,5.5680,-3.7573
1,3,188.63,209.00,244.54,294.06,0.577,0,216.59,294.06,4.8075,-4.0382
2,1,245.13,218.70,319.81,318.70,0.720,0,282.47,318.70,5.5681,-3.7594
2,3,188.64,209.00,244.55,294.05,0.578,0,216.60,294.05,4.8075,-4.0381
3,1,245.09,218.70,319.72,318.76,0.721,0,282.40,318.76,5.5683,-3.7605
3,3,188.63,209.00,244.55,294.07,0.578,0,216.59,294.07,4.8078,-4.0383
4,1,245.05,218.70,319.55,318.75,0.721,0,282.30,318.75,5.5675,-3.7612
4,3,188.62,209.00,244.56,294.09,0.577,0,216.59,294.09,4.8079,-4.0385
5,1,245.20,218.72,319.57,318.74,0.721,0,282.38,318.74,5.5680,-3.7605
5,3,188.61,208.99,244.54,294.06,0.572,0,216.58,294.06,4.8074,-4.0383
6,1,245.25,218.72,319.52,318.77,0.720,0,282.38,318.77,5.5682,-3.7607
6,3,188.57,208.99,244.53,294.08,0.579,0,216.55,294.08,4.8075,-4.0387
7,1,245.27,218.72,319.41,318.79,0.720,0,282.34,318.79,5.5681,-3.7612
7,3,188.56,208.98,244.53,294.08,0.579,0,216.54,294.08,4.8075,-4.0388
8,1,245.06,218.69,319.06,318.82,0.719,0,282.06,318.82,5.5665,-3.7634
8,3,188.58,208.98,244.57,294.10,0.582,0,216.57,294.10,4.8080,-4.0387
9,1,245.20,218.67,318.99,318.75,0.722,0,282.09,318.75,5.5661,-3.7626
9,3,188.58,208.99,244.65,294.20,0.594,0,216.61,294.20,4.8097,-4.0393
10,1,245.25,218.67,318.88,318.77,0.723,0,282.07,318.77,5.5661,-3.7629
10,3,188.81,209.01,244.83,294.05,0.609,0,216.82,294.05,4.8094,-4.0363
11,1,245.58,218.69,319.05,318.76,0.723,0,282.31,318.76,5.5677,-3.7611
11,3,188.84,209.01,244.88,294.05,0.591,0,216.86,294.05,4.8097,-4.0359
12,1,245.73,218.70,319.05,318.76,0.722,0,282.39,318.76,5.5681,-3.7605
12,3,188.80,209.01,244.86,294.07,0.593,0,216.83,294.07,4.8096,-4.0363
13,1,245.98,218.71,319.17,318.75,0.722,0,282.57,318.75,5.5693,-3.7592
13,3,188.81,209.00,244.87,294.06,0.592,0,216.84,294.06,4.8096,-4.0362
14,1,246.11,218.72,319.19,318.74,0.722,0,282.65,318.74,5.5697,-3.7586
14,3,188.80,209.00,244.85,294.07,0.577,0,216.83,294.07,4.8096,-4.0363
15,1,245.99,218.71,318.98,318.71,0.720,0,282.48,318.71,5.5683,-3.7595
15,3,188.48,209.02,244.67,294.24,0.615,0,216.58,294.24,4.8100,-4.0400
16,1,245.93,218.69,318.83,318.63,0.721,0,282.38,318.63,5.5670,-3.7595
16,3,188.35,209.03,244.61,294.28,0.614,0,216.48,294.28,4.8098,-4.0411
17,1,245.81,218.68,318.66,318.69,0.719,0,282.23,318.69,5.5665,-3.7610
17,3,188.31,209.03,244.60,294.28,0.608,0,216.46,294.28,4.8096,-4.0413
18,1,245.74,218.68,318.52,318.72,0.723,0,282.13,318.72,5.5661,-3.7620
18,3,188.28,209.03,244.61,294.28,0.609,0,216.44,294.28,4.8096,-4.0415
19,1,245.57,218.67,318.28,318.80,0.723,0,281.93,318.80,5.5655,-3.7642
19,3,188.28,209.03,244.64,294.28,0.613,0,216.46,294.28,4.8097,-4.0413
20,1,245.39,218.65,318.06,318.94,0.721,0,281.72,318.94,5.5654,-3.7668
20,3,188.26,209.04,244.66,294.28,0.616,0,216.46,294.28,4.8097,-4.0413
21,1,245.25,218.62,317.77,318.92,0.722,0,281.51,318.92,5.5638,-3.7681
21,3,188.25,209.05,244.65,294.26,0.616,0,216.45,294.26,4.8093,-4.0412
22,1,245.14,218.61,317.51,318.93,0.722,0,281.32,318.93,5.5627,-3.7696
22,3,188.24,209.05,244.69,294.28,0.614,0,216.46,294.28,4.8097,-4.0412
23,1,244.96,218.58,317.38,319.17,0.699,0,281.17,319.17,5.5638,-3.7727
23,3,188.31,209.04,244.77,294.25,0.615,0,216.54,294.25,4.8099,-4.0404
24,1,244.80,218.60,317.16,319.32,0.705,0,280.98,319.32,5.5639,-3.7755
24,3,188.36,209.04,244.85,294.26,0.615,0,216.60,294.26,4.8105,-4.0399
