timestamp,temp,ac,lights
0,19.71,Off,Off
1,19.71,Off,Off
2,19.7,Off,Off
3,19.7,Off,Off
4,19.72,Off,Off
5,19.7,Off,Off
6,19.71,Off,Off
7,19.7,Off,Off
8,19.7,Off,Off
9,19.69,Off,Off
10,19.71,Off,Off
11,19.7,Off,Off
12,19.69,Off,Off
13,19.7,Off,Off
14,19.7,Off,Off
15,19.68,Off,Off
16,19.69,Off,Off
17,19.69,Off,Off
18,19.7,Off,Off
19,19.7,Off,Off
20,19.71,Off,Off
21,19.72,Off,Off
22,19.73,Off,Off
23,19.73,Off,Off
24,19.72,Off,Off
25,19.71,Off,Off
26,19.72,Off,Off
27,19.73,Off,Off
28,19.72,Off,Off
29,19.74,Off,Off
30,19.74,Off,Off
31,19.75,Off,Off
32,19.74,Off,Off
33,19.74,Off,Off
34,19.74,Off,Off
35,19.75,Off,Off
36,19.75,Off,Off
37,19.76,Off,Off
38,19.75,Off,Off
39,19.75,Off,Off
40,19.77,Off,Off
41,19.79,Off,Off
42,19.79,Off,Off
43,19.78,Off,Off
44,19.8,Off,Off
45,19.83,Off,Off
46,19.83,Off,Off
47,19.82,Off,Off
48,19.82,Off,Off
49,19.81,Off,Off
50,19.79,Off,Off
51,19.78,Off,Off
52,19.8,Off,Off
53,19.79,Off,Off
54,19.76,Off,Off
55,19.76,Off,Off
56,19.76,Off,Off
57,19.76,Off,Off
58,19.75,Off,Off
59,19.76,Off,Off
60,19.76,Off,Off
61,19.79,Off,Off
62,19.79,Off,Off
63,19.8,Off,Off
64,19.79,Off,Off
65,19.82,Off,Off
66,19.82,Off,Off
67,19.82,Off,Off
68,19.83,Off,Off
69,19.8,Off,Off
70,19.79,Off,Off
71,19.8,Off,Off
72,19.79,Off,Off
73,19.8,Off,Off
74,19.8,Off,Off
75,19.81,Off,Off
76,19.81,Off,Off
77,19.81,Off,Off
78,19.82,Off,Off
79,19.81,Off,Off
80,19.8,Off,Off
81,19.81,Off,Off
82,19.82,Off,Off
83,19.83,Off,Off
84,19.83,Off,Off
85,19.83,Off,Off
86,19.83,Off,Off
87,19.83,Off,Off
88,19.83,Off,Off
89,19.83,Off,Off
90,19.85,Off,Off
91,19.85,Off,Off
92,19.85,Off,Off
93,19.85,Off,Off
94,19.85,Off,Off
95,19.84,Off,Off
96,19.83,Off,Off
97,19.84,Off,Off
98,19.83,Off,Off
99,19.83,Off,Off
100,19.82,Off,Off
101,19.84,Off,Off
102,19.85,Off,Off
103,19.85,Off,Off
104,19.82,Off,Off
105,19.84,Off,Off
106,19.84,Off,Off
107,19.85,Off,Off
108,19.86,Off,Off
109,19.84,Off,Off
110,19.87,Off,Off
111,19.87,Off,Off
112,19.86,Off,Off
113,19.88,Off,Off
114,19.89,Off,Off
115,19.88,Off,Off
116,19.9,Off,Off
117,19.9,Off,Off
118,19.91,Off,Off
119,19.93,Off,Off
120,19.92,Off,Off
121,19.94,Off,Off
122,19.97,Off,Off
123,19.97,Off,Off
124,19.97,Off,Off
125,19.95,Off,Off
126,19.95,Off,Off
127,19.95,Off,Off
128,19.95,Off,Off
129,19.95,Off,Off
130,19.94,Off,Off
131,19.95,Off,Off
132,19.96,Off,Off
133,19.97,Off,Off
134,19.99,Off,Off
135,20.01,Off,Off
136,19.99,Off,Off
137,20.0,Off,Off
138,20.0,Off,Off
139,20.01,Off,Off
140,20.02,Off,Off
141,20.02,Off,Off
142,20.02,Off,Off
143,20.0,Off,Off
144,20.01,Off,Off
